,precision,recall,f1-score,support
NORMAL,0.9739583333333334,0.961439588688946,0.9676584734799483,389.0
PNEUMONIA,0.9632352941176471,0.9751861042183623,0.969173859432799,403.0
accuracy,0.9684343434343434,0.9684343434343434,0.9684343434343434,0.9684343434343434
macro avg,0.9685968137254902,0.9683128464536541,0.9684161664563736,792.0
weighted avg,0.9685020393889879,0.9684343434343434,0.9684295600190883,792.0
