,precision,recall,f1-score,support
NORMAL,0.5256756756756756,1.0,0.6891054030115146,389.0
PNEUMONIA,1.0,0.12903225806451613,0.22857142857142856,403.0
accuracy,0.5568181818181818,0.5568181818181818,0.5568181818181818,0.5568181818181818
macro avg,0.7628378378378378,0.564516129032258,0.45883841579147155,792.0
weighted avg,0.7670300982800983,0.5568181818181818,0.4547680397547536,792.0
