,precision,recall,f1-score,support
NORMAL,0.9787234042553191,0.9460154241645244,0.9620915032679739,389.0
PNEUMONIA,0.9495192307692307,0.9801488833746899,0.9645909645909646,403.0
accuracy,0.9633838383838383,0.9633838383838383,0.9633838383838383,0.9633838383838383
macro avg,0.9641213175122749,0.9630821537696072,0.9633412339294692,792.0
weighted avg,0.9638631998173222,0.9633838383838383,0.963363325128031,792.0
