,precision,recall,f1-score,support
NORMAL,0.979328165374677,0.974293059125964,0.9768041237113402,389.0
PNEUMONIA,0.9753086419753086,0.9801488833746899,0.9777227722772277,403.0
accuracy,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.9772727272727273
macro avg,0.9773184036749929,0.9772209712503269,0.9772634479942839,792.0
weighted avg,0.9772828775843418,0.9772727272727273,0.9772715673629219,792.0
