,precision,recall,f1-score,support
NORMAL,0.9796437659033079,0.9897172236503856,0.9846547314578005,389.0
PNEUMONIA,0.9899749373433584,0.9801488833746899,0.9850374064837906,403.0
accuracy,0.9848484848484849,0.9848484848484849,0.9848484848484849,0.9848484848484849
macro avg,0.9848093516233332,0.9849330535125378,0.9848460689707955,792.0
weighted avg,0.9849006624820205,0.9848484848484849,0.9848494511995606,792.0
