,precision,recall,f1-score,support
NORMAL,0.9738903394255874,0.9588688946015425,0.966321243523316,389.0
PNEUMONIA,0.960880195599022,0.9751861042183623,0.9679802955665024,403.0
accuracy,0.9671717171717171,0.9671717171717171,0.9671717171717171,0.9671717171717171
macro avg,0.9673852675123047,0.9670274994099524,0.9671507695449093,792.0
weighted avg,0.9672702788673728,0.9671717171717171,0.9671654328836747,792.0
