,precision,recall,f1-score,support
NORMAL,0.9640102827763496,0.9640102827763496,0.9640102827763496,389.0
PNEUMONIA,0.9652605459057072,0.9652605459057072,0.9652605459057072,403.0
accuracy,0.9646464646464646,0.9646464646464646,0.9646464646464646,0.9646464646464646
macro avg,0.9646354143410284,0.9646354143410284,0.9646354143410284,792.0
weighted avg,0.9646464646464646,0.9646464646464646,0.9646464646464646,792.0
