,precision,recall,f1-score,support
NORMAL,0.9644670050761421,0.9768637532133676,0.9706257982120051,389.0
PNEUMONIA,0.9773869346733668,0.9652605459057072,0.9712858926342073,403.0
accuracy,0.9709595959595959,0.9709595959595959,0.9709595959595959,0.9709595959595959
macro avg,0.9709269698747545,0.9710621495595374,0.9709558454231062,792.0
weighted avg,0.9710411611716997,0.9709595959595959,0.9709616795909792,792.0
