,precision,recall,f1-score,support
NORMAL,0.9815789473684211,0.9588688946015425,0.9700910273081924,389.0
PNEUMONIA,0.9611650485436893,0.9826302729528535,0.9717791411042945,403.0
accuracy,0.9709595959595959,0.9709595959595959,0.9709595959595959,0.9709595959595959
macro avg,0.9713719979560552,0.970749583777198,0.9709350842062434,792.0
weighted avg,0.9711915720826043,0.9709595959595959,0.9709500044039362,792.0
