,precision,recall,f1-score,support
NORMAL,0.9887323943661972,0.9023136246786633,0.9435483870967742,389.0
PNEUMONIA,0.9130434782608695,0.9900744416873449,0.95,403.0
accuracy,0.946969696969697,0.946969696969697,0.946969696969697,0.946969696969697
macro avg,0.9508879363135334,0.9461940331830041,0.9467741935483871,792.0
weighted avg,0.9502189686206832,0.946969696969697,0.9468312153796025,792.0
