,precision,recall,f1-score,support
NORMAL,0.9869451697127938,0.9717223650385605,0.9792746113989638,389.0
PNEUMONIA,0.9731051344743277,0.9875930521091811,0.9802955665024631,403.0
accuracy,0.9797979797979798,0.9797979797979798,0.9797979797979798,0.9797979797979798
macro avg,0.9800251520935608,0.9796577085738708,0.9797850889507134,792.0
weighted avg,0.9799028285497864,0.9797979797979798,0.9797941125438,792.0
